"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,344840,-344840
3,46390,19050,395763,-376713
4,124075,57345,446686,-389341
5,236441,109528,497609,-388081
6,347014,162416,549812,-387396
7,454933,209811,607425,-397614
8,564765,253157,651315,-398158
9,702151,315209,694982,-379773
10,1576394,813397,737880,75517
11,2359207,1231324,856566,374758
12,2897537,1576308,915080,661228
13,3364887,1816447,959620,856827
14,3679663,2002796,1053940,948856
15,5001925,2619975,1117376,1502599
16,6378060,2946076,1202245,1743831
17,6452057,2971913,1282444,1689469
18,6541292,3010494,1404909,1605585
19,6960518,3082776,1555149,1527627
20,7049802,3126611,1630356,1496255
21,7586506,3425427,1724982,1700445
22,7694084,3493383,1793926,1699457
23,7782451,3551297,1862289,1689008
24,7871976,3603946,1937671,1666275
25,7963131,3646449,1992834,1653615
26,8047396,3662957,2051367,1611590
27,9824013,4244036,2107380,2136656
28,11373040,4586511,2147548,2438963
29,11881288,4762166,2186118,2576048
30,11979388,4819516,2224688,2594828
31,12337925,4892964,2264140,2628824
32,12950645,5059791,2303349,2756442
33,13497590,5259660,2345668,2913992
34,14188885,5433613,2392706,3040907
35,14619463,5560648,2513496,3047152
36,14677593,5592481,2559137,3033344
37,14969527,5783650,2597993,3185657
38,15480801,6057539,2657820,3399719
39,16657359,6505909,2812159,3693750
40,16750910,6557685,2949259,3608426
41,16858191,6614481,3026725,3587756
42,17650551,6845843,3089113,3756730
43,17741259,6906519,3159552,3746967
44,17826414,6965447,3244319,3721128
45,17921877,7027027,3378605,3648422
46,18022395,7080175,3440915,3639260
47,18103216,7130762,3626673,3504089
48,18154919,7160840,3671460,3489380
49,18292372,7245025,3716301,3528724
50,18376917,7285415,3761176,3524239
51,18420011,7312516,3806231,3506285
52,18468642,7335973,3868825,3467148
53,18517699,7353440,3929300,3424140
54,18588555,7402183,3974694,3427489
55,18982528,7610584,4054412,3556172
56,19654801,7916992,4119010,3797982
57,19742974,7985151,4183488,3801663
58,20062131,8148733,4248042,3900691
59,20108689,8182893,4342538,3840355
60,20221073,8230552,4409054,3821498
61,20281720,8248867,4488905,3759962
62,20324732,8268194,4583510,3684684
63,20368528,8293913,4636369,3657544
64,20494681,8346894,4679245,3667649
65,20560835,8384817,4727036,3657781
66,20684198,8448178,4769329,3678849
67,20753995,8489733,4821634,3668099
68,20931222,8649496,4982388,3667108
69,21964488,9164596,5063245,4101351
70,22094429,9285164,5102111,4183053
71,22161628,9339152,5173794,4165358
72,22221076,9386029,5228287,4157742
73,22273359,9428255,5314581,4113674
74,22882015,9651608,5378142,4273466
75,22995074,9754045,5417768,4336277
76,23062670,9807765,5506045,4301720
77,23129139,9872512,5561861,4310651
78,23358191,10063820,5666552,4397268
79,23606728,10261632,5789253,4472379
80,24237182,10587510,5865143,4722367
81,24451864,10754822,5926187,4828635
82,25909555,11398532,5987175,5411357
83,26287791,11568668,6048173,5520495
84,27059992,11766359,6119081,5647278
85,27615916,11971924,6189908,5782016
86,27673242,12013765,6250364,5763401
87,28004496,12128016,6305679,5822337
88,28213965,12319311,6345893,5973418
89,28298752,12338019,6385655,5952364
90,28802602,12588412,6425003,6183409